User,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet Text
BBCNews,28,Sun Nov 05 22:28:53 +0000 2017,0.6179,0.229,0.0,0.771,RT @BBCPanorama: Don't miss our must-see investigation into the offshore secrets of the rich - now on iPlayer. #paradisepapers. https://t.c…
BBCNews,29,Sun Nov 05 22:16:14 +0000 2017,-0.34,0.0,0.112,0.888,"RT @BBCSport: Three players have been released from Scotland's #RLWC squad after being deemed too drunk to board a flight.

https://t.co/Vy…"
BBCNews,30,Sun Nov 05 22:14:05 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Express: ""Icy Blast To Sweep Britain"" https://t.co/xryvwkd8Ju #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,31,Sun Nov 05 22:14:05 +0000 2017,-0.6249,0.0,0.272,0.728,"Monday's Star: ""Strictly Shirley In Fix Crisis"" https://t.co/l7ZnzH6IAt #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,32,Sun Nov 05 22:11:05 +0000 2017,-0.4767,0.0,0.181,0.819,"Monday's FT: ""Princes and tycoons arrested in Saudi crackdown on corruption"" https://t.co/jqKtx7VV2n #bbcpapers (via @AllieHBNews)"
BBCNews,33,Sun Nov 05 22:00:39 +0000 2017,0.4019,0.13,0.0,0.87,"RT @BBCWorld: Don't know your ""double Irish"" from a ""drawdown""? 

Our jargon-busting guide to #ParadisePapers key terms will help

https://…"
BBCNews,34,Sun Nov 05 21:38:20 +0000 2017,-0.5106,0.0,0.231,0.769,"RT @BBCWorld: Are we failing to tame offshore finance? 

https://t.co/1GGw486DAM #ParadisePapers https://t.co/kAfXTtzys0"
BBCNews,35,Sun Nov 05 21:07:50 +0000 2017,0.6369,0.344,0.0,0.656,Paradise Papers: Lord Ashcroft stayed non-dom despite pledges https://t.co/x2t8ETV4zN
BBCNews,36,Sun Nov 05 21:05:52 +0000 2017,-0.9001,0.036,0.365,0.599,"RT @BBCOurWorld: Enslaved by ISIS or forced to fight for ISIS: the children &amp; families uprooted by war. ""Escaping ISIS""
on the BBC News Cha…"
BBCNews,37,Sun Nov 05 20:28:59 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCBreaking: The Queen’s private estate has invested about £10m offshore, #ParadisePapers reveal https://t.co/mJlCewkM8b https://t.co/o…"
BBCNews,38,Sun Nov 05 19:46:54 +0000 2017,-0.0772,0.0,0.157,0.843,"#ParadisePapers: Tax haven secrets of ultra-rich exposed

https://t.co/JlLpynSnjq"
BBCNews,39,Sun Nov 05 19:29:45 +0000 2017,0.0,0.0,0.0,1.0,"RT @vicderbyshire: The Queen, an off-shore haven and Brighthouse https://t.co/FVvqZK4PWp #paradisepapers"
BBCNews,40,Sun Nov 05 19:02:28 +0000 2017,0.5574,0.175,0.0,0.825,RT @BBCPanorama: Watch our #paradisepapers investigation into the offshore secrets of the rich &amp; famous on iPlayer.  https://t.co/MIH4CMbhZ…
BBCNews,41,Sun Nov 05 19:02:17 +0000 2017,0.0,0.0,0.0,1.0,"RT @BBCBreaking: Did oligarch, Alisher Usmanov, break @premierleague rules with stakes in both @arsenal &amp; @everton? https://t.co/eGNFIQI2qN…"
BBCNews,42,Sun Nov 05 18:52:21 +0000 2017,0.5523,0.186,0.0,0.814,RT @BBCPanorama: Thanks everyone for watching &amp; for all your comments. Don't forget to watch our second investigation tomorrow night at 9pm…
BBCNews,43,Sun Nov 05 18:47:12 +0000 2017,0.4019,0.184,0.0,0.816,RT @BBCJamesCook: The leader of Britain's Labour Party reacts to the #ParadisePapers... https://t.co/NTV3JpB2hc
BBCNews,44,Sun Nov 05 18:41:57 +0000 2017,-0.5267,0.0,0.134,0.866,"RT @BBCSport: FT Everton 3-2 Watford

What a comeback from the Toffees.  2-0 down but they fight back to take all three points.

https://t.…"
BBCNews,45,Sun Nov 05 18:41:48 +0000 2017,0.6597,0.234,0.073,0.693,"RT @5liveSport: FT: 

Morata's goal wins it for #CFC

""Conte asked for determination and hunger and he got it"" - @Fizzer18

#CHEMUN 
https:…"
BBCNews,46,Sun Nov 05 18:41:21 +0000 2017,-0.1779,0.0,0.159,0.841,"RT @BBCWorld: How to hide your cash

https://t.co/lig25C5o6s

#ParadisePapers https://t.co/i5nToqlubZ"
BBCNews,47,Sun Nov 05 18:39:23 +0000 2017,0.0,0.0,0.0,1.0,"Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZLRSjP"
